chemical_id,auroc,auprc,n_pos,mean_pos_score,name
2469,1.0,1.0,5,0.9949886,Benzodiazepines
7893,0.9982142857142857,0.982142857142857,7,0.9802483,Yohimbine
3096,0.9976744186046511,0.9666666666666666,5,0.9829302,Methoxychlor
3298,0.9970588235294118,0.9666666666666668,5,0.99270487,Aripiprazole
3662,0.9954954954954954,0.9583333333333333,6,0.9695832,Amoxicillin
5205,0.9951690821256038,0.9583333333333333,6,0.94775534,Thiotepa
7690,0.9948717948717949,0.9583333333333333,6,0.9782806,Fluphenazine
6282,0.9941291585127201,0.9478458049886621,7,0.94480574,chromium hexavalent ion
3706,0.9939849624060151,0.9093537414965986,7,0.9800881,Fructose
7184,0.9936507936507937,0.9266666666666665,5,0.97557676,Hydrochlorothiazide
3209,0.9936224489795918,0.906795634920635,8,0.9882658,Flumazenil
2092,0.9933333333333333,0.9266666666666667,5,0.93742526,Amphetamines
343,0.9926829268292683,0.8766666666666667,5,0.95718944,Kainic Acid
7501,0.9925925925925927,0.9428571428571428,5,0.894549,Physostigmine
3626,0.9918918918918919,0.8766666666666667,5,0.93834513,S 1 (combination)
510,0.9918367346938776,0.9240362811791383,7,0.9667617,Amantadine
4786,0.9904761904761905,0.8972222222222221,6,0.94697374,Hexachlorocyclohexane
7580,0.9894736842105264,0.925,5,0.9202018,titanium dioxide
1996,0.9887323943661972,0.8761904761904762,5,0.9741448,1-Naphthylisothiocyanate
5614,0.9886904761904762,0.893487095692978,12,0.91143966,Vehicle Emissions
741,0.9884259259259259,0.8833333333333333,6,0.8537026,Aluminum Chloride
5156,0.9864864864864865,0.8373397435897436,8,0.9689467,Vindesine
1607,0.9857142857142857,0.9081632653061225,7,0.936646,Dextroamphetamine
1488,0.9852941176470588,0.8711111111111112,5,0.95460284,Amoxicillin-Potassium Clavulanate Combination
4586,0.9844236760124611,0.8436507936507938,9,0.9488976,Midazolam
1038,0.9833333333333333,0.8599999999999999,5,0.98332244,Piperacillin
7611,0.9830645161290323,0.8993925765095121,16,0.89141124,Particulate Matter
1614,0.9823529411764705,0.7683333333333333,5,0.9759139,Polycyclic Aromatic Hydrocarbons
201,0.9814814814814814,0.8263888888888888,6,0.96673274,Amitriptyline
831,0.98,0.8600000000000001,5,0.9001988,Fenoprofen
4258,0.9795918367346939,0.739342403628118,7,0.8738988,Timolol
6704,0.978021978021978,0.8720238095238095,7,0.8880616,Pyridoxine
2073,0.9776247848537005,0.8431122448979591,7,0.8754522,Maprotiline
3519,0.9769021739130435,0.8635912698412698,8,0.8652731,Atorvastatin
2475,0.9768115942028985,0.696190476190476,5,0.94382524,Domperidone
4166,0.976271186440678,0.7892857142857144,5,0.9464132,Pyridostigmine Bromide
6331,0.9761904761904762,0.831045751633987,6,0.84356284,Trifluoperazine
7571,0.9758648431214803,0.7905103668261564,11,0.9413572,Ifosfamide
434,0.9753694581280787,0.6551543694400837,7,0.9403347,Thioacetamide
2510,0.9752252252252253,0.801984126984127,6,0.8605594,Droperidol
3301,0.975,0.8174693362193362,10,0.8690047,Meperidine
4437,0.975,0.8173076923076923,8,0.85967064,Clonazepam
1630,0.9745454545454545,0.7944444444444445,5,0.8183187,perfluorooctanoic acid
168,0.973744292237443,0.7524256932151671,12,0.9434436,Diethylhexyl Phthalate
260,0.9734848484848484,0.7491529304029304,8,0.9414557,Memantine
4434,0.9731343283582089,0.7392857142857143,5,0.90381634,Penicillin G
6556,0.9725935828877005,0.7144781759871274,11,0.8915252,Carbon Tetrachloride
6436,0.9723004694835681,0.8358028860544342,20,0.8988091,Morphine
3211,0.9722102542007756,0.8384645919851559,22,0.87367016,bisphenol A
1869,0.9720588235294118,0.669724025974026,8,0.8880763,Contrast Media
7384,0.9717948717948718,0.7287037037037037,6,0.896204,Mycophenolic Acid
1244,0.9705882352941176,0.8666666666666667,5,0.8610098,Desipramine
4447,0.97,0.8221320346320345,10,0.85798407,Dobutamine
1960,0.9698795180722892,0.762202380952381,8,0.95596415,Flecainide
4581,0.9696969696969697,0.7251683501683501,6,0.8297042,Pargyline
5592,0.9696969696969697,0.7406050739384074,9,0.89278233,nimesulide
995,0.9696606786427145,0.7684895542480681,15,0.8711697,Chlorpyrifos
3551,0.9692982456140351,0.8112044817927171,6,0.8569269,Ritodrine
1876,0.9682835820895522,0.7327273898406457,26,0.90462196,Vincristine
4393,0.9682539682539684,0.6166666666666666,5,0.82102144,Tobramycin
518,0.9682291666666667,0.8020361207881139,20,0.85440606,Tetrachlorodibenzodioxin
240,0.9671598700830025,0.8385710166419509,17,0.9049131,Diltiazem
3589,0.9671052631578947,0.7616059379217274,8,0.93231803,Fluvoxamine
186,0.9667318982387476,0.7107142857142856,7,0.8954168,Sulfadiazine
